range;linha;descricao;posto;datainicioplan;datafimplan;datainicioreal;datafimreal;fimreal_fimplan;inicioreal_inicioplan;fimreal_inicioreal;fimplan_inicioplan
1603;Porta Pax Dian.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Dian.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Dian.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Dian.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Dian.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-06 06:00:00.000;2019-08-08 15:00:00.000;2019-08-16 07:00:00.000;2019-08-16 16:00:00.000;-6;-8;1;3
1603;Porta Pax Dian.;PINTURA;Pintura + Dinitrol;2019-08-09 06:00:00.000;2019-08-09 15:00:00.000;2019-08-17 07:00:00.000;2019-08-17 15:20:00.000;-6;-6;1;1
1603;Porta Pax Dian.;MONT. BOX;Comp;2019-08-12 06:00:00.000;2019-08-13 10:30:00.000;2019-08-19 07:30:00.000;2019-08-22 07:00:00.000;-7;-5;4;2
1603;Porta Pax Dian.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-13 11:00:00.000;2019-08-14 15:00:00.000;2019-08-22 07:30:00.000;2019-08-29 07:10:00.000;-11;-7;6;2
1603;Porta Pax Dian.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-08-15 06:00:00.000;2019-08-16 15:00:00.000;2019-08-29 07:30:00.000;2019-09-06 10:00:00.000;-15;-10;7;2
1603;Porta Pax Dian.;EMBALAGEM;Embalagem e Entrega;2019-08-19 06:00:00.000;2019-08-19 15:00:00.000;2019-09-06 14:20:00.000;2019-09-06 16:10:00.000;-14;-14;1;1
1603;Porta Pax Dian.;INVOICE;DELIVERY;2019-08-20 06:00:00.000;2019-08-20 06:00:00.000;2019-09-06 17:00:00.000;2019-09-06 18:00:00.000;-13;-13;1;1
1603;Porta Pax Tras.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Tras.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Tras.;COMPL. SUPORTAGEM;GM 4 - Suportes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Tras.;FRESAGEM;MIL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1603;Porta Pax Tras.;SELAGEM;Selagem Aerodinâmica + Cura;2019-08-01 06:00:00.000;2019-08-05 15:00:00.000;2019-08-16 07:00:00.000;2019-08-16 15:30:00.000;-9;-11;1;3
1603;Porta Pax Tras.;PINTURA;Pintura + Dinitrol;2019-08-06 06:00:00.000;2019-08-06 15:00:00.000;2019-08-17 07:10:00.000;2019-08-17 15:40:00.000;-9;-9;1;1
1603;Porta Pax Tras.;MONT. BOX;Comp;2019-08-07 06:00:00.000;2019-08-08 10:30:00.000;2019-08-19 07:30:00.000;2019-08-21 15:00:00.000;-9;-8;3;2
1603;Porta Pax Tras.;MECANISMOS;GM 5 - Montagem Mecanismos;2019-08-08 11:00:00.000;2019-08-09 15:00:00.000;2019-08-22 07:30:00.000;2019-08-28 15:00:00.000;-13;-10;5;2
1603;Porta Pax Tras.;REGULAGEM FINAL;GM 6 - Regulagem Final;2019-08-12 06:00:00.000;2019-08-13 15:00:00.000;2019-08-28 07:00:00.000;2019-08-30 07:00:00.000;-13;-12;3;2
1603;Porta Pax Tras.;EMBALAGEM;Embalagem e Entrega;2019-08-14 06:00:00.000;2019-08-14 15:00:00.000;2019-09-06 14:00:00.000;2019-09-06 16:00:00.000;-17;-17;1;1
1603;Porta Pax Tras.;INVOICE;DELIVERY;2019-08-15 06:00:00.000;2019-08-15 06:00:00.000;2019-09-06 16:00:00.000;2019-09-06 17:00:00.000;-16;-16;1;1
1604;Porta Pax Dian.;ESTRUTURA;GM 1 - Estrutura Primária;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1604;Porta Pax Dian.;FURAÇÃO;GM 2 - Painel e Estrutura;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
